Filename,Title,Authors,Application,Definition_of_Deepfake,Identity_Source,Identity_Source_Reasoning,Intent,Intent_Reasoning,Modality,Modality_Reasoning,Manipulation_Granularity,Manipulation_Granularity_Reasoning,Cites,Year,Source,Publisher,RelatedURL
UUYTTIL4_Ritter et al. - 2023 - Comparative Analysis and Evaluation of CNN Models for Deepfake Detection.pdf,Comparative Analysis and Evaluation of CNN Models for Deepfake Detection,"P Ritter, D Lucian, A Chowanda","Entertainment (movies, social media, fun apps), Identity theft/fraud, Political manipulation, Pornography",Artificially generated fake videos or images that mimic real content for deceptive purposes,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which is a form of identity transfer from one person to another.",Deceptive,The focus is on detecting deepfakes used for non-malicious purposes like fraud and identity theft.,Visual,The deepfakes discussed are primarily visual media such as images and videos.,Targeted Attribute,"The deepfakes involve modifying specific attributes, particularly faces, to create realistic identities.",6,2023,… on Artificial Intelligence …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:aDL2St8QeGcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Whydodeepfakedetectorsfail.pdf,Why do deepfake detectors fail,"B Le, S Tariq, A Abuadbba, K Moore…","Impersonation, misinformation, national security threats",Artificially generated media that realistically impersonates real content to deceive,Original-to-Target Transfer,"The paper discusses deepfakes used for impersonation, which involves replacing identities (Aï¿½ï¿",Deceptive,"The focus is on why detectors fail, implying the deepfakes are likely used for malicious purposes like fraud or deception",Visual,The paper focuses on visual media such as images and videos,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes,9,2023,arXiv preprint arXiv …,researchgate.net,"https://scholar.google.com/scholar?q=related:f3MjBOcfG7kJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
RS7PQ2V9_Wu et al. - 2024 - Traceevader Making deepfakes more untraceable via evading the forgery model attribution.pdf,Traceevader: Making deepfakes more untraceable via evading the forgery model attribution,"M Wu, J Ma, R Wang, S Zhang, Z Liang, B Li…",Entertainment and social media; disinformation,DeepFakes are artificial faces that mimic real people's identities through realistic DeepFakes.,Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred between people.,Non-deceptive,"The intent is to make deepfakes more untraceable, which can be for malicious purposes like disinformation.",Visual,The focus is on visual media such as images and videos.,Holistic,The manipulation involves targeted attributes like faces or expressions.,7,2024,… on Artificial Intelligence,ojs.aaai.org,"https://scholar.google.com/scholar?q=related:90UuPxI_I_AJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
RFY74Y7G_Mutmainnah et al. - 2024 - Problematika Teknologi Deepfake Sebagai Masa Depan Hoax Yang Semakin Meningkat Solusi Strategis Dit.pdf,Problematika Teknologi Deepfake Sebagai Masa Depan Hoax Yang Semakin Meningkat: Solusi Strategis Ditinjau Dari Literasi Digital,"A Mutmainnah, AM Suhandi…","Entertainment (social media), Political manipulation",Deepfakes are technology used to create fake news or images by manipulating faces.,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,5,2024,UPGRADE …,journal.universitasbumigora.ac.id,"https://scholar.google.com/scholar?q=related:isG45qp_Wc4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
FormulatingGlobalPoliciesandStrategiesforCombatingCriminalUseandAbuseofArtificialIntelligence.pdf,Formulating global policies and strategies for combating criminal use and abuse of artificial intelligence,"AD Samuel-Okon, O Olateju, SU Okon…","Entertainment (movies, social media, fun apps), Identity theft/fraud, Political manipulation, Pornography",Deepfakes are artificial face swaps or identity alterations used deceptively for various purposes.,Original-to-Target Transfer,"The paper discusses deepfakes involving identity swapping, which is a form of original-to-target transfer.",Non-deceptive,The focus is on mitigating criminal use rather than generating malicious content.,Visual,Applications like social media and entertainment are visual in nature.,Holistic,No reasoning provided,30,2024,Available at SSRN …,papers.ssrn.com,"https://scholar.google.com/scholar?q=related:YrufvAmvGfEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
5EFSAG38_Liang et al. - 2020 - Sdhf Spotting deepfakes with hierarchical features.pdf,Sdhf: Spotting deepfakes with hierarchical features,"T Liang, P Chen, G Zhou, H Gao, J Liu…","Social media manipulation, entertainment, identity theft/fraud, political manipulation, etc.",DeepFakes are artificially generated videos that involve the replacement or manipulation of identities through face swapping or other means to deceive,Original-to-Target Transfer,"The paper discusses DeepFakes involving identity replacement, which can be classified as Original-to-Target Transfer.",Deceptive,The detection of DeepFakes for authenticity purposes implies their use in deceptive applications like fraud and identity theft.,Visual,"The focus is on video-based visual content, making the modality 'Visual'.",Holistic,"The hierarchical features cover frames, clips, and videos, indicating a holistic approach to manipulation.",10,2020,… artificial intelligence …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:JXExz8GsFN0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
YVK2ZTY9_Maddocks - 2020 - 'A Deepfake Porn Plot Intended to Silence Me' exploring continuities between pornographic and 'poli.pdf,'A Deepfake Porn Plot Intended to Silence Me': exploring continuities between pornographic and 'political'deep fakes,S Maddocks, Pornography,"AI-generated images where faces are swapped or altered, often used for deceptive purposes.",Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, such as politicians and porn stars.",Deceptive,"The intent is to silence individuals, indicating a deceptive purpose.",Visual,The paper focuses on video-based visual deepfakes used for entertainment or political manipulation.,Targeted Attribute,No reasoning provided,170,2020,Porn Studies,Taylor &Francis,"https://scholar.google.com/scholar?q=related:7BcOwSJPQjQJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
NLP5G9GX_Bhagtani et al. - 2024 - Are Recent Deepfake Speech Generators Detectable.pdf,Are Recent Deepfake Speech Generators Detectable?,"K Bhagtani, AKS Yadav, P Bestagini…",Fraud detection and identity theft,Synthetic speech generated by AI models that can mimic real human voice for fraudulent purposes.,Original-to-Target Transfer,"The paper discusses synthetic speech generators that clone speaker voices, involving identity replacement from original to target.",Deceptive,The deepfakes are used for fraudulent activities like identity theft and fraud detection.,Audio,The paper focuses on audio-based deepfakes for voice cloning.,Targeted Attribute,The generators modify specific voice attributes to create synthetic speech.,7,2024,Proceedings of the 2024 …,dl.acm.org,"https://scholar.google.com/scholar?q=related:iOPllIr0SpEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
FDLRRDQG_Fuad et al. - 2023 - Deepfake Detection From Face-swapped Videos Using Transfer Learning Approach.pdf,Deepfake Detection From Face-swapped Videos Using Transfer Learning Approach,"MTH Fuad, FB Amin, SMM Ahsan",The paper does not explicitly mention primary applications but focuses on detection methods.,Deepfakes are synthetic media created using AI and machine learning to alter or swap faces in videos.,Original-to-Target Transfer,The paper discusses face-swapped deepfakes where identities are replaced from one person to another.,Non-deceptive,"The focus is on detecting these deepfakes, which are not primarily for deceptive purposes but for detection methods.",Visual,The paper deals with video-based visual deepfakes.,Holistic,The deepfakes involve complete replacement of entire identities.,2,2023,2023 26th International …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:HWBkGYPjH9YJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
2BHQGAP6_Tan et al. - 2025 - C2p-clip Injecting category common prompt in clip to enhance generalization in deepfake detection.pdf,C2p-clip: Injecting category common prompt in clip to enhance generalization in deepfake detection,"C Tan, R Tao, H Liu, G Gu, B Wu, Y Zhao…",Primarily for malicious purposes like identity theft and fraud detection,Deepfakes are artificial images or videos that manipulate identities through techniques like face swapping to deceive,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,15,2025,… on Artificial Intelligence,ojs.aaai.org,"https://scholar.google.com/scholar?q=related:9airWti0Dx4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
C96IJMNE_Wolter et al. - 2022 - Wavelet-packets for deepfake image analysis and detection.pdf,Wavelet-packets for deepfake image analysis and detection,"M Wolter, F Blanke, R Heese, J Garcke","Movies, social media, entertainment","Synthetic images created to mimic real ones, often used for deception or misrepresentation.",Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred between people.,Deceptive,"The focus is on detection methods, which are used for legitimate purposes like security.",Visual,The paper focuses on image-based visual deepfakes.,Both Targeted and Holistic,The multi-scale wavelet-packet method involves both holistic identity replacement and specific attribute changes.,49,2022,Machine Learning,Springer,"https://scholar.google.com/scholar?q=related:Y9Zv9KmwkIoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
PQ2THNKT_Huang et al. - 2022 - Cmua-watermark A cross-model universal adversarial watermark for combating deepfakes.pdf,Cmua-watermark: A cross-model universal adversarial watermark for combating deepfakes,"H Huang, Y Wang, Z Chen, Y Zhang, Y Li…",Identity-related applications such as generating target facial attributes or entire faces for malicious purposes like fraud and identity theft.,Artificially generated images that manipulate facial attributes or entire faces to deceive individuals.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement, which are examples of original-to-target transfer.",Deceptive,The definition indicates that these deepfakes are used for deceptive purposes such as fraud and identity theft.,Visual,The focus is on visual media like images or videos used to generate faces.,Holistic,"The deepfakes involve complete replacement of entire identities, indicating holistic manipulation.",112,2022,… on artificial intelligence,ojs.aaai.org,"https://scholar.google.com/scholar?q=related:sL8VK2ASgFMJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
6GAF83LJ_Nailwal et al. - 2023 - Deepfake Detection A Multi-Algorithmic and Multi-Modal Approach for Robust Detection and Analysis.pdf,Deepfake Detection: A Multi-Algorithmic and Multi-Modal Approach for Robust Detection and Analysis,"S Nailwal, S Singhal, NT Singh…","Entertainment (movies), Social media","Artificially generated images or videos that manipulate identities, such as face swapping, to deceive users.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which is a form of identity transfer from one person to another.",Deceptive,The detection framework aims to identify malicious deepfakes used for fraudulent purposes like identity theft.,Multimodal,"The paper covers both visual and audio deepfakes, making it multimodal.",Both Targeted and Holistic,The deepfakes involve both specific attribute changes (like age) and complete identity replacement.,3,2023,"… , Artificial Intelligence and …",ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:QvR0p9hPROoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Y4JE7JUH_Woo - 2022 - Add Frequency attention and multi-view based knowledge distillation to detect low-quality compresse.pdf,Add: Frequency attention and multi-view based knowledge distillation to detect low-quality compressed deepfake images,S Woo,Entertainment and social media,Artificially generated images that manipulate or alter facial identities.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which is a form of identity transfer.",Non-deceptive,The focus is on detection methods rather than malicious intent.,Visual,The deepfakes are images used for detection purposes.,Holistic,The techniques involve holistic changes to face identities.,91,2022,… of the AAAI conference on artificial intelligence,ojs.aaai.org,"https://scholar.google.com/scholar?q=related:MaNtVb983UQJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
B8HGKECE_Ramkissoon et al. - 2022 - Scene and Texture Based Feature Set for DeepFake Video Detection.pdf,Scene and Texture Based Feature Set for DeepFake Video Detection,"AN Ramkissoon, V Rajamanickam…",Deception detection in video content,DeepFakes are videos manipulated using realistic techniques to alter or impersonate identities.,Original-to-Target Transfer,"The paper discusses DeepFakes involving identity manipulation within videos, focusing on realistic scene and texture alterations.",Deceptive,"The focus is on detecting deceptive content, aligning with the application of identifying DeepFakes for security purposes.",Visual,The analysis centers on video-based visual deepfakes using scene and texture features.,Holistic,The detection involves holistic alterations to entire identities within videos.,3,2022,… Conference on Data …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:MyD7i4ky_jcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
8JCHT6DZ_Mï¿½ï¿½ller et al. - 2022 - Human perception of audio deepfakes,Human perception of audio deepfakes,"NM Müller, K Pizzi, J Williams",Audio for voice impersonation in entertainment and security,"Implicitly, deepfakes involve audio manipulation to imitate someone's voice.",Original-to-Target Transfer,No reasoning provided,Non-deceptive,No reasoning provided,Audio,No reasoning provided,Holistic,No reasoning provided,83,2022,… 1st international workshop on deepfake …,dl.acm.org,"https://scholar.google.com/scholar?q=related:lSqMlaS-o5gJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
SSKZTGAY_Mu et al. - 2024 - Identifikasi Wajah Asli dan Buatan Deepfake Menggunakan Metode Convolutional Neural Network.pdf,Identifikasi Wajah Asli dan Buatan Deepfake Menggunakan Metode Convolutional Neural Network,"J Mu, M Adrezo, AN Haikal",Identity theft/fraud (malicious impersonation),Deepfakes are AI-generated images that mimic real faces used for deceptive purposes like fraud.,Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, which is a form of original-to-target transfer.",Deceptive,"The definition mentions these are often used to deceive, and applications include fraud and identity theft.",Visual,The paper focuses on video-based visual deepfakes as it uses CNN for image processing.,Holistic,The deepfakes discussed involve complete face/identity replacement rather than specific attribute changes.,2,2024,Teknika,ejournal.ikado.ac.id,"https://scholar.google.com/scholar?q=related:FpPKKhxplwEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
F9M59KL2_Gowda et al. - 2024 - Efficient Identification of DeepFake Images using CNN.pdf,Efficient Identification of DeepFake Images using CNN,"NC Gowda, HN Veena…",Digital media security and credibility,Synthetic images created to look real but are actually fake.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and attribute modifications, which are classified under Original-to-Target Transfer.",Deceptive,The detection of malicious deepfakes for deceptive purposes is highlighted in the paper.,Visual,The focus is on visual media types like images used to detect deepfakes.,Holistic,The detection involves holistic changes across identity aspects.,4,2024,… Conference on Intelligent …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:lhcrKUIU1s0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
XRCUHWIT_Khoo et al. - 2022 - Deepfake attribution On the source identification of artificially generated images.pdf,Deepfake attribution: On the source identification of artificially generated images,"B Khoo, RCW Phan, CH Lim","Entertainment (movies, social media, fun apps), Identity theft/fraud (malicious impersonation), Political manipulation (fake political content), Pornography (non-consensual intimate images), Art/creativity (artistic expression), Education (historical figure recreation)",Artificially generated images that mimic real-world content with high fidelity.,Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred from one person to another.,Deceptive,"The focus is on detecting and holding users accountable for malicious deepfakes, which are often used for fraudulent purposes.",Visual,The analysis centers on visual media such as images.,Holistic,The examples provided involve complete identity replacement rather than specific attribute changes.,41,2022,Wiley Interdisciplinary Reviews …,Wiley Online Library,"https://scholar.google.com/scholar?q=related:b1h2taM5SZAJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
7ZZPANLD_Meneses - 2021 - Deepfakes and the 2020 US elections What (did not) happen.pdf,Deepfakes and the 2020 US elections: What (did not) happen,JP Meneses,Political manipulation through disinformation,"Artificially manipulated media used for deception, particularly in political contexts to spread misinformation.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement, fitting the original-to-target transfer category.",Deceptive,"The focus is on preventing political manipulation, indicating non-deceptive intent despite broader disinformation concerns.",Visual,The context involves visual media like images or videos used in elections.,Holistic,The deepfakes involve complete identity transformation rather than specific attribute changes.,7,2021,arXiv preprint arXiv:2101.09092,arxiv.org,"https://scholar.google.com/scholar?q=related:mKu6-9PvG54J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
CACUWPAQ_Ivanov et al. - 2020 - Combining deep learning and super-resolution algorithms for deep fake detection.pdf,Combining deep learning and super-resolution algorithms for deep fake detection,"NS Ivanov, AV Arzhskov…",Social media and entertainment,"AI-generated images or videos with manipulated identities, often used to create realistic fake images or videos.",Original-to-Target Transfer,"The paper discusses deep fakes involving face swapping, where identities are transferred from one person to another.",Deceptive,The focus is on legitimate uses of deep fakes for entertainment and social media sharing.,Visual,"The deep fakes discussed are primarily visual, focusing on images and videos.",Targeted Attribute,The manipulation involves targeted attributes such as age and expression in face swapping.,29,2020,2020 IEEE Conference of …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:BKgdK-19upsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
TTQG8HHI_Jung et al. - 2020 - Deepvision Deepfakes detection using human eye blinking pattern.pdf,Deepvision: Deepfakes detection using human eye blinking pattern,"T Jung, S Kim, K Kim",Entertainment and social media,"Deepfakes are AI-generated images or videos that mimic real people's identities through techniques like GANs, often used for deceptive purposes.",Complete Synthesis,"The paper discusses using eye blinking patterns to detect deepfakes, which involves holistic identity changes.",Deceptive,The detection method aims to identify deepfakes used for deceptive purposes.,Visual,The paper focuses on visual media (videos) based on physiological data.,Holistic,The approach considers complete transformations of identity patterns.,313,2020,IEEE Access,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:UiEhVlJer2UJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
KAYKQ6GJ_Lomnitz et al. - 2020 - Multimodal approach for deepfake detection.pdf,Multimodal approach for deepfake detection,"M Lomnitz, Z Hampel-Arias…","Identity theft, fraud, political manipulation, pornography, art/creativity, education",Deepfakes are synthetic media created using Generative Adversarial Networks (GANs) to mimic real data for nefarious purposes such as identity replacement or impersonation.,Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred between people.,Deceptive,"The definition mentions these are often used to deceive, and applications include fraud and identity theft.",Multimodal,The paper focuses on video-based visual deepfakes along with audio data.,Holistic,The deepfakes discussed involve complete face/identity replacement rather than specific attribute changes.,29,2020,2020 IEEE applied …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:P8XQAkvpUZsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
SamoilenkoandSuvorova.pdf,Artificial intelligence and deepfakes in strategic deception campaigns: The US and Russian experiences,"SA Samoilenko, I Suvorova","Political Manipulation, Identity Theft/Fraud",Deepfakes are used to create realistic fake videos that manipulate public perception or identity.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement, fitting the original-to-target transfer category.",Deceptive,The intent is deceptive as these deepfakes are used for political manipulation and fraud.,Visual,"Visual media types are discussed, such as videos used in strategic deception campaigns.",Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,27,2023,The Palgrave handbook of malicious use of …,Springer,"https://scholar.google.com/scholar?q=related:ukqDIlKeWQoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
"DDQQYWHL_Cochran and Napshin - 2021 - Deepfakes awareness, concerns, and platform accountability.pdf","Deepfakes: awareness, concerns, and platform accountability","JD Cochran, SA Napshin","Entertainment (movies, social media, fun apps)","Artificially generated images or videos that realistically swap faces between individuals, often used for deception or identity replacement.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are transferred from one person to another.",Deceptive,The focus is on concerns and accountability rather than deceptive purposes like fraud or identity theft.,Visual,Deepfakes in social media contexts typically involve visual content such as images or videos.,Targeted Attribute,"Face swapping often modifies specific attributes like age, expression, or identity.",48,2021,"Cyberpsychology, Behavior, and Social …",liebertpub.com,"https://scholar.google.com/scholar?q=related:Svp669PDmPoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
A_survey_of_deepfakes_in_terms_of_deep_l.pdf,A survey of deepfakes in terms of deep learning and multimedia forensics,"WJ Hadi, SM Kadhem, AR Abbas","The paper discusses the applications of deepfakes primarily related to identity manipulation, including face swapping and identity replacement.",Deepfakes involve the creation of artificial video or image content where parts of a person's identity are replaced or modified using AI techniques like GANs.,Original-to-Target Transfer,"The paper discusses deepfakes focused on face swapping and identity replacement, which fall under original-to-target transfer.",Deceptive,The intent is deceptive as the detection methods are likely used to identify and combat malicious deepfakes aimed at deception.,Visual,The focus is on visual media such as videos and images where deepfakes are commonly applied.,Holistic,"The deepfakes involve complete identity replacement, making them holistic in nature.",3,2022,International Journal of Electrical …,academia.edu,"https://scholar.google.com/scholar?q=related:g4F6QsfTCfoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
CPA52EMS_Nautiyal et al. - 2023 - Intersection of Artificial Intelligence (AI) in Entertainment Sector.pdf,Intersection of Artificial Intelligence (AI) in Entertainment Sector,"R Nautiyal, RS Jha, S Kathuria, Y Chanti…","Cinema, Music, Gaming, Virtual Reality",Not explicitly defined in the paper; AI's role is described without a clear definition of deepfakes.,Original-to-Target Transfer,"The paper discusses AI applications involving face swapping and identity replacement, which fall under targeted attribute manipulation.",Non-deceptive,The focus is on legitimate entertainment applications without malicious intent.,Visual,"Entertainment sectors like cinema involve visual media, hence classified as Visual.",Holistic,The examples provided relate to changing specific attributes (faces) rather than complete identity transformation.,7,2023,… on Smart Electronics …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:ZysqMvACooUJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
NQ2HM2LR_Lin et al. - 2025 - Standing on the shoulders of giants Reprogramming visual-language model for general deepfake detect.pdf,Standing on the shoulders of giants: Reprogramming visual-language model for general deepfake detection,"K Lin, Y Lin, W Li, T Yao, B Li",Entertainment and social media,"Deepfakes are artificially generated images or videos that manipulate visual data to deceive users, often by altering or replacing faces.",Original-to-Target Transfer,"The paper discusses deepfakes involving face manipulation, specifically identity replacement (Aï¿½ï¿½ï¿½B), which fits the 'Original-to-Target Transfer' cat",Non-deceptive,"The paper focuses on detecting deepfakes for legitimate purposes such as security and safety, hence classified as non-deceptive.",Visual,"The deepfakes discussed are primarily visual, involving images or videos of faces.",Holistic,The approach involves holistic manipulation by replacing entire identities rather than specific attributes.,5,2025,… Conference on Artificial Intelligence,ojs.aaai.org,"https://scholar.google.com/scholar?q=related:Siuep51PykUJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
2MFIJB52_Vinay et al. - 2022 - AFMB-Net DeepFake detection network using heart rate analysis.pdf,AFMB-Net: DeepFake detection network using heart rate analysis,"A Vinay, N Bhat, PS Khurana, V Lakshminarayanan…",Social media and other communication platforms for malicious purposes like fraud and identity theft,Deepfakes are artificial videos or images created using GAN technology that mimic real identities or scenarios.,Original-to-Target Transfer,"The paper discusses heart rate-based deepfakes, which involve unique physiological data for identity verification.",Deceptive,The deepfakes are used for malicious purposes such as fraud and identity theft.,Visual,The detection network focuses on visual media (heart rate analysis in videos),Targeted Attribute,Heart rate variability is a targeted attribute manipulated to verify authenticity.,6,2022,Tehnički …,hrcak.srce.hr,"https://scholar.google.com/scholar?q=related:uOBDN-Mu7bwJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
RID8ZF59_Gambï¿½ï¿½n et al. - 2024 - Deepfakes Current and future trends,Deepfakes: Current and future trends,"ÁF Gambín, A Yazidi, A Vasilakos, H Haugerud…","Spreading disinformation online for malicious purposes such as scams, identity theft, and public opinion manipulation.",Deepfakes involve the use of AI to manipulate images or videos to impersonate individuals.,Original-to-Target Transfer,No reasoning provided,Non-deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,71,2024,Artificial Intelligence …,Springer,"https://scholar.google.com/scholar?q=related:FXHvhqZtElIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
PAEIPF4G_Silva - 2023 - AI in the era of fakes and deepfakes Risk of fabricated photographs and identities in academic publ.pdf,AI in the era of fakes and deepfakes: Risk of fabricated photographs and identities in academic publishing,JAT da Silva,"Academic publishing, research integrity issues",Deepfakes are artificial constructions that create fake images or identities using AI and software to mimic real credentials or personas.,Original-to-Target Transfer,"The paper discusses deepfakes used for creating fake identities, often involving face swapping or profile creation.",Non-deceptive,"The focus is on the potential risks of these deepfakes in academic settings, such as fraud and identity theft, rather than their legitimate use.",Visual,"The paper focuses on visual media types, particularly images and profiles, which are common in academic publishing.",Holistic,The deepfakes involve complete replacement or transformation of entire identities.,3,2023,Journal of Information Security and …,journals.nauss.edu.sa,"https://scholar.google.com/scholar?q=related:vVhF5hH2rCYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
jot-89-8-448.pdf,Deepfake as the basis for digitally collaging “impossible faces”,"VA Barabanshchikov, MM Marinova",Artistic entertainment and digital media,A technology enabling the creation of video clips with manipulated or swapped faces to create 'impossible' images without obvious alterations.,Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transformed, creating new faces by combining parts from different individuals.",Non-deceptive,The focus is on artistic and creative applications rather than deceptive purposes.,Visual,The paper focuses on video-based visual deepfakes used for entertainment and digital art.,Holistic,"The deepfakes involve complete identity replacement, such as chimeric faces or rotated facial features.",4,2022,Journal of Optical Technology,opg.optica.org,"https://scholar.google.com/scholar?q=related:TnxYASfEO_kJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
2024.findings-acl.861.pdf,Deepfake defense: Constructing and evaluating a specialized Urdu deepfake audio dataset,"S Munir, W Sajjad, M Raza, E Abbas…",Voice verification and security systems,Artificially generated audio that manipulates voice identity through spoofing attacks like Tacotron and VITS TTS.,Original-to-Target Transfer,The paper discusses deepfakes focused on voice identity replacement using spoofing attacks.,Deceptive,"The intent is to deceive ASV systems, fitting under deceptive applications like fraud prevention.",Audio,The focus is on audio-based deepfakes for voice verification security.,Targeted Attribute,No reasoning provided,3,2024,Findings of the …,aclanthology.org,"https://scholar.google.com/scholar?q=related:oRj8goaf_78J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Analysis_of_the_current_state_of_deepfak.pdf,Analysis of the current state of deepfake techniques-creation and detection methods,"AA Abu-Ein, OM Al-Hazaimeh, AM Dawood…","Entertainment (social media), Identity theft/fraud, Political manipulation, Pornography",Artificially generated digital content that realistically alters or replaces parts of an image or video to deceive viewers.,Original-to-Target Transfer,"The paper discusses deepfakes involving face manipulation, specifically swapping or altering identities.",Deceptive,The focus is on detecting these deepfakes for fraudulent purposes.,Visual,The paper focuses on visual media such as images and videos.,Holistic,The deepfakes involve complete identity replacement.,16,2022,Indonesian Journal of …,academia.edu,"https://scholar.google.com/scholar?q=related:5TP1tnpd18sJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
